Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2025-06-02,201.27622985839844,284.1222229003906,206.64999389648438,293.8417053222656,211.47000122070312,342.4281921386719,260.751708984375,63.0873908996582,134.81674194335938,112.47037506103516,595.531982421875,363.62445068359375,210.19447326660156,260.69036865234375,154.2676544189453,262.1167297363281,70.94758605957031,310.91485595703125,145.1031494140625,74.75568389892578,460.3502197265625,61.25168228149414,137.3627166748047,165.4832000732422,353.844970703125,274.0981750488281,300.6751708984375,363.9573974609375,42.664886474609375,99.53751373291016
2025-06-03,202.8429412841797,285.2056579589844,205.7100067138672,295.891357421875,213.42999267578125,347.1274108886719,263.59228515625,63.59130096435547,136.4892578125,113.11762237548828,600.6148071289062,368.68414306640625,211.35951232910156,261.9745788574219,153.2947998046875,263.71124267578125,70.119873046875,310.6264953613281,146.81785583496094,75.62824249267578,461.3466796875,62.04754638671875,141.2022247314453,164.56593322753906,356.1545715332031,273.8303527832031,297.22161865234375,364.495361328125,42.4036750793457,99.74703216552734
2025-06-04,202.3938751220703,282.6842346191406,207.22999572753906,294.43865966796875,211.97999572753906,347.057861328125,262.2966003417969,63.62093734741211,134.35707092285156,113.00808715820312,596.0194091796875,368.01214599609375,211.99330139160156,262.2906799316406,152.10354614257812,261.68096923828125,70.32679748535156,309.8111267089844,145.50953674316406,76.73609161376953,462.2435302734375,62.44548034667969,141.9021453857422,163.67823791503906,360.59454345703125,269.6545104980469,296.3927917480469,366.6274108886719,41.83287811279297,99.11849212646484
2025-06-05,200.20848083496094,282.7728576660156,207.91000366210938,294.4685363769531,209.02000427246094,346.69024658203125,266.2534484863281,63.84819412231445,133.89736938476562,112.05216217041016,602.6538696289062,367.19677734375,211.2663116455078,263.6143798828125,152.54034423828125,259.43280029296875,69.87351989746094,307.2357482910156,144.96441650390625,76.09884643554688,466.0401611328125,62.34599685668945,139.97239685058594,160.5713653564453,356.2740478515625,268.8213195800781,291.9130554199219,365.4019775390625,41.89091873168945,97.73173522949219
2025-06-06,203.49156188964844,285.95416259765625,213.57000732421875,300.94573974609375,210.8000030517578,351.0517272949219,273.5989685058594,65.27098846435547,137.13478088378906,113.41635131835938,610.7306518554688,365.2577819824219,213.23292541503906,265.59991455078125,153.90036010742188,263.17645263671875,70.30708312988281,305.6248779296875,144.21115112304688,77.4223861694336,468.7307434082031,62.47532272338867,141.70216369628906,161.77467346191406,355.8758239746094,271.4696960449219,299.195068359375,368.839111328125,42.37464904785156,97.24288177490234
2025-06-09,201.02674865722656,285.60943603515625,216.97999572753906,300.0403137207031,217.50999450683594,355.74102783203125,271.3464660644531,65.11290740966797,137.67271423339844,115.16887664794922,610.2532348632812,363.1398010253906,211.69505310058594,268.7708740234375,154.09889221191406,264.1767272949219,70.72093963623047,303.0594482421875,142.95237731933594,77.77532958984375,471.0924072265625,61.589927673339844,142.612060546875,160.33465576171875,356.3437194824219,265.60760498046875,299.1654968261719,365.2923889160156,42.22953414916992,97.2229232788086
2025-06-10,202.24420166015625,289.0074462890625,217.61000061035156,298.0105895996094,215.72999572753906,356.2377624511719,267.329833984375,64.37186431884766,140.20591735839844,118.22583770751953,611.5960083007812,365.83453369140625,210.88417053222656,272.8802795410156,155.3100128173828,266.0188903808594,71.29246520996094,298.7340087890625,143.7750244140625,79.75574493408203,469.26885986328125,63.539791107177734,143.94189453125,160.61082458496094,359.1112365722656,261.9424133300781,299.75750732421875,369.3173522949219,42.693912506103516,97.09322357177734
2025-06-11,198.36236572265625,287.411865234375,213.1999969482422,297.59271240234375,214.0,360.7780456542969,265.0274963378906,63.42333221435547,141.6045379638672,119.01248168945312,620.8464965820312,358.4265441894531,210.4740753173828,278.0960693359375,154.12867736816406,265.5732116699219,71.01655578613281,300.0167236328125,145.87625122070312,78.74592590332031,470.9628601074219,62.783721923828125,142.8219451904297,159.8908233642578,355.52740478515625,260.2193603515625,306.4376525878906,371.9176025390625,42.31660461425781,95.57677459716797
2025-06-12,198.78147888183594,292.80926513671875,213.24000549316406,296.48828125,203.75,358.6122131347656,266.0242004394531,64.32246398925781,141.79037475585938,118.1063461303711,621.781494140625,361.111328125,210.68844604492188,277.6120300292969,155.5184783935547,265.6623229980469,71.18407440185547,301.4486083984375,143.48760986328125,80.2165298461914,477.1909484863281,62.47532272338867,144.9918212890625,160.94615173339844,354.6015930175781,264.88055419921875,314.2722473144531,370.01470947265625,41.7554817199707,94.6090316772461
2025-06-13,196.03726196289062,290.7704772949219,212.10000610351562,286.3397216796875,200.32000732421875,354.7276306152344,257.54241943359375,63.324520111083984,142.7097625732422,117.43919372558594,610.2730712890625,352.6592712402344,209.04806518554688,273.848388671875,155.9552764892578,262.4039306640625,70.47947692871094,300.2056579589844,141.05931091308594,80.10868072509766,473.2946472167969,60.21706008911133,141.9619903564453,158.0858612060547,334.37274169921875,262.4105224609375,309.36822509765625,351.5339050292969,41.61035919189453,94.21994018554688
